ID,species,species2,country,region,town,Sample ID,year,15N,Collected,Diet
292035,U.arctos,U.arctos,United States,Alaska,"Brooks Range, Savioyuk Valley",292035,1950,5.72,NMNH,bear
293123,U.arctos,U.arctos,United States,Alaska,"Point Barrow, 115 Mi SE, Titalvk",293123,1951,6.81,NMNH,bear
293124,U.arctos,U.arctos,United States,Alaska,"Anaktiktoak Creek, Anaktuyuk Pass, Brooks Range",293124,1951,8.21,NMNH,bear
293125,U.arctos,U.arctos,United States,Alaska,"Anaktiktork Creek, Anaktuvuk Pass, Brooks Range",293125,1951,4.43,NMNH,bear
293782,U.arctos,U.arctos,United States,Alaska,"Chandalar Valley, Arctic Village",293782,1951,4.91,NMNH,bear
294029,U.arctos,U.arctos,United States,Alaska,"Chandalar River, 4 Mi, Arctic Village",294029,1951,4,NMNH,bear
294078,U.arctos,U.arctos,United States,Alaska,"John River, 10 Mi N Hunt Fork, Timberline",294078,1969,3.71,NMNH,bear
286413,U.arctos,U.arctos,United States,Alaska,"Cook's Inlet, Chinitna Bay",286413,1950,14.7,NMNH,bear
223393,U.arctos,U.arctos,United States,New Mexico,"Black Range, 25 Mi NW Of Chloride. Sierra County",223393,1916,7.96,NMNH,bear
223394,U.arctos,U.arctos,United States,New Mexico,"Black Range, 25 Mi NW Of Chloride. Sierra County",223394,1916,8.47,NMNH,bear
223395,U.arctos,U.arctos,United States,New Mexico,"Black Range, 25 Mi NW Of Chloride. Sierra County",223395,1916,8.36,NMNH,bear
223396,U.arctos,U.arctos,United States,New Mexico,black range,223396,1916,6.88,NMNH,bear
231286,U.arctos,U.arctos,United States,New Mexico,"Taos, 20 Mi SE On Rio Chiquito",231286,1918,9.47,NMNH,bear
231287,U.arctos,U.arctos,United States,New Mexico,"Taos, 20 Mi SE On Rio Chiquito",231287,1918,10.55,NMNH,bear
235098,U.arctos,U.arctos,United States,New Mexico,"Fairview, 35 Mi NE",235098,1920,8.75,NMNH,bear
224496,U.arctos,U.arctos,United States,New Mexico,"cuba, sandoval county",224496,1916,7.19,NMNH,bear
21691,U.arctos,U.arctos,India,Jammu and Kashmir,Nag Marg,21691,1893,2.9,NMNH,bear
512167,U.maritimus,U.maritimus,United States,Alaska,"Point Hope and Russian Coast, Ice Pack Between",512167,1971,20.86,NMNH,bear
512168,U.maritimus,U.maritimus,United States,Alaska,"Point Hope and Russian Coast, Ice Pack Between",512168,1971,21.27,NMNH,bear
512169,U.maritimus,U.maritimus,United States,Alaska,"Point Hope and Russian Coast, Ice Pack Between",512169,1971,21.07,NMNH,bear
512170,U.maritimus,U.maritimus,United States,Alaska,"Point Hope and Russian Coast, Ice Pack Between",512170,1971,22.3,NMNH,bear
512171,U.maritimus,U.maritimus,United States,Alaska,"Point Hope and Russian Coast, Ice Pack Between",512171,1971,20.56,NMNH,bear
512172,U.maritimus,U.maritimus,United States,Alaska,"Barter Island, 15 Mi N",512172,1975,20.83,NMNH,bear
258556,C.temminckii,C.temminckii,China,Szechuan,Mupin,254795,1929,4.98,NMNH,carnivore
258694,C.temminckii,C.temminckii,China,Szechuan,Wen Chuan,258694,1933,4.42,NMNH,carnivore
259016,C.temminckii,C.temminckii,China,Szechuan,Wen Chuan,259016,1934,5.13,NMNH,carnivore
259012,C.temminckii,C.temminckii,China,Szechuan,Wen Chuan,259012,1934,7.01,NMNH,carnivore
153846,P.bengalensis,P.bengalensis,Indonesia,Borneo,"Kendawangan River, Lanchut",153846,1908,8.4,NMNH,carnivore
196601,P.bengalensis,P.bengalensis,Indonesia,Borneo,Labuan Bimi,196601,1913,7.17,NMNH,carnivore
198055,P.bengalensis,P.bengalensis,Indonesia,Borneo,"Samarinda, N Bank",198055,1913,10.37,NMNH,carnivore
198056,P.bengalensis,P.bengalensis,Indonesia,Borneo,"Samarinda, N Bank",198056,1913,9.92,NMNH,carnivore
198057,P.bengalensis,P.bengalensis,Indonesia,Borneo,Sungai Karangan,198057,1913,9.8,NMNH,carnivore
62108,P.bengalensis,P.bengalensis,India,Jammu and Kashmir,valley of kasmir,62108,1905,5.3,NMNH,carnivore
173334,P.bengalensis,P.bengalensis,India,Jammu and Kashmir,Hyhama,173334,1911,5.89,NMNH,carnivore
173335,P.bengalensis,P.bengalensis,India,Jammu and Kashmir,"Hyhama, Valleey of Kashmir",173335,1911,5.82,NMNH,carnivore
201069,P.bengalensis,P.bengalensis,India,Jammu and Kashmir,"Dandwar, Pir Panjal Range",201069,1915,5.31,NMNH,carnivore
201070,P.bengalensis,P.bengalensis,India,Jammu and Kashmir,Dandwar,201070,1915,5.31,NMNH,carnivore
295123,C.lupus,C.lupus,United States,Alaska,Umiat,295123,1952,5.15,NMNH,carnivore
195124,C.lupus,C.lupus,United States,Alaska,Umiat,195124,1952,6.1,NMNH,carnivore
195125,C.lupus,C.lupus,United States,Alaska,Umiat,195125,1952,4.86,NMNH,carnivore
292928,C.lupus,C.lupus,United States,Alaska,"Ramanzof, Schrader Lake",292928,1952,6.89,NMNH,carnivore
294403,C.lupus,C.lupus,United States,Alaska,Arctic Village,294403,1951,6.86,NMNH,carnivore
271894,C.lupus,C.lupus,United States,Alaska,"Seward Peninsula, Etchepuk River; Golovin Reindeer Station",271894,1941,5.98,NMNH,carnivore
274063,C.lupus,C.lupus,United States,Alaska,Mount Mckinley National Park,274063,1943,12.17,NMNH,carnivore
276126,C.lupus,C.lupus,United States,Alaska,"Naknek Lake, Alaska Peninsula",276126,1945,8.04,NMNH,carnivore
324994,C.lupus,C.lupus,United States,Alaska,"Anchorage, Arctic Health Research Center",324994,1962,6.6,NMNH,carnivore
275163,C.lupus,C.lupus,United States,Alaska,"Teller, 12 Mi From",275163,1953,6.23,NMNH,carnivore
223494,L.rufus,L.rufus,United States,New Mexico,Luna,223494,1916,7.97,NMNH,carnivore
223495,L.rufus,L.rufus,United States,New Mexico,Luna,223495,1916,7.27,NMNH,carnivore
223496,L.rufus,L.rufus,United States,New Mexico,Luna,223496,1916,6.64,NMNH,carnivore
223514,L.rufus,L.rufus,United States,New Mexico,Abiquiu,223514,1916,8.48,NMNH,carnivore
223527,L.rufus,L.rufus,United States,New Mexico,El Vado,223527,1916,7.64,NMNH,carnivore
223528,L.rufus,L.rufus,United States,New Mexico,El Vado,223528,1916,9.79,NMNH,carnivore
223538,L.rufus,L.rufus,United States,New Mexico,El Vado,223538,1916,10.38,NMNH,carnivore
21692,U.arctos,U.arctos,India,Jammu and Kashmir,Krishnagunga range,21692,1893,0.53,NMNH,bear
199518,M. ursinus,M. ursinus,India,Jammu and Kashmir,Madhya Pradesh,199518,1914,6.89,NMNH,bear
