,X.1,X,Tray..,ID.Tray,ID,species,species.1,State,weigth,Sample.ID,X15N,R,X15N_percent,Total.N,Diet,Locality,year,date,region,speciesID,species2,animal
57,57,57,1,E9,276128,V.vulpes,V.vulpes,Alaska,1.01,276128,5.7,0.0037,0.36838,142.32,omnivore,Naknek Lake,1945,1945,Alaska-US,VV,V.vulpes,V.vulpes
58,58,58,1,E10,294410,V.vulpes,V.vulpes,Alaska,0.49,294410,6.79,0.0037,0.36878,67.96,omnivore,Chandler Lake,1952,1952,Alaska-US,VV,V.vulpes,V.vulpes
59,59,59,1,E11,294411,V.vulpes,V.vulpes,Alaska,0.78,294411,7.82,0.00371,0.36916,111.73,omnivore,Chandler Lake,1952,1952,Alaska-US,VV,V.vulpes,V.vulpes
60,60,60,1,E12,294412,V.vulpes,V.vulpes,Alaska,0.77,294412,7,0.0037,0.36886,108.91,omnivore,Chandler Lake,1952,1952,Alaska-US,VV,V.vulpes,V.vulpes
61,61,61,1,F1,276127,V.vulpes,V.vulpes,Alaska,0.49,276127,7.36,0.0037,0.36899,71.93,omnivore,"Naknek Lake, Alaska peninsula",1945,1945,Alaska-US,VV,V.vulpes,V.vulpes
62,62,62,1,F2,118625,P.lotor,P.lotor,New Mexico,0.96,11825,9.93,0.00371,0.36993,142.01,omnivore,Santa Rosa,1902,1902,New Mexico-US,PL,P.lotor,P.lotor
63,63,63,1,F3,127592,P.lotor,P.lotor,New Mexico,0.94,127592,11.5,0.00372,0.3705,141.34,omnivore,Santa Rosa,1903,1903,New Mexico-US,PL,P.lotor,P.lotor
64,64,64,1,F4,132483,P.lotor,P.lotor,New Mexico,0.87,132483,10.45,0.00371,0.37012,128.68,omnivore,Rinconada,1904,1904,New Mexico-US,PL,P.lotor,P.lotor
65,65,65,1,F5,158241,P.lotor,P.lotor,New Mexico,1.38,158241,13.58,0.00373,0.37126,203.05,omnivore,"Deming, 8 Mi E",1908,1908,New Mexico-US,PL,P.lotor,P.lotor
66,66,66,1,F6,160601,P.lotor,P.lotor,New Mexico,1.03,160601,10.27,0.00371,0.37005,142.16,omnivore,"Magdalena Mountains, Water Canyon",1909,1909,New Mexico-US,PL,P.lotor,P.lotor
67,67,67,1,F7,158243,P.lotor,P.lotor,New Mexico,0.69,158243,12.9,0.00372,0.37101,100.45,omnivore,Red Rock,1908,1908,New Mexico-US,PL,P.lotor,P.lotor
68,68,68,1,F8,2336,E.Barbara,E.Barbara,Peru,2.2,2336,6.88,0.0037,0.36881,271.47,omnivore,pasco,1997,1997,Peru & Venezuela,EB,E.Barbara,E.Barbara
69,69,69,1,F9,12674,E.Barbara,E.Barbara,Peru,2.39,12674,9.16,0.00371,0.36965,382.11,omnivore,oxapampa,1990,NA,Peru & Venezuela,EB,E.Barbara,E.Barbara
70,70,70,1,F10,5846,E.Barbara,E.Barbara,Peru,2.53,5846,6.86,0.0037,0.36881,418.14,omnivore,pasco,1991,1991,Peru & Venezuela,EB,E.Barbara,E.Barbara
71,71,71,1,F11,7206,E.Barbara,E.Barbara,Peru,2.17,7206,7.24,0.0037,0.36895,336.12,omnivore,san martin,1990,NA,Peru & Venezuela,EB,E.Barbara,E.Barbara
72,72,72,1,F12,2155,E.Barbara,E.Barbara,Peru,2.24,2155 a,6.72,0.0037,0.36876,296,omnivore,cajamarca,1990,NA,Peru & Venezuela,EB,E.Barbara,E.Barbara
73,73,73,1,G1,9442,E.Barbara,E.Barbara,Peru,1.1,9442,8.81,0.00371,0.36952,151.97,omnivore,,1994,1994,Peru & Venezuela,EB,E.Barbara,E.Barbara
74,74,74,1,G2,276055,P.vitulina,P.vitulina,Alaska,0.53,276055,17.67,0.00374,0.37275,69.25,piscivore,Bering Sea,1947,1947,Alaska-US,PV,P.vitulina,P.vitulina
75,75,75,1,G3,276056,P.vitulina,P.vitulina,Alaska,0.71,276056,18.61,0.00374,0.3731,97.83,piscivore,bering Sea,1947,1947,Alaska-US,PV,P.vitulina,P.vitulina
76,76,76,1,G4,276057,P.vitulina,P.vitulina,Alaska,1.49,276057,17.96,0.00374,0.37286,203.97,piscivore,Bering Sea,1947,1947,Alaska-US,PV,P.vitulina,P.vitulina
77,77,77,1,G5,276365,P.vitulina,P.vitulina,Alaska,0.49,276365,18.19,0.00374,0.37294,72.32,piscivore,bering Sea,1947,1947,Alaska-US,PV,P.vitulina,P.vitulina
78,78,78,1,G6,258349,U.thibetanus,U.thibetanus,Sichuan,0.62,258349,5.63,0.0037,0.36836,88.48,bear,"West China Mountains, Chengtu",1933,1933,Sichuan-China,UT,U.thibetanus,U.thibetanus.C
79,79,79,1,G7,258352,U.thibetanus,U.thibetanus,Sichuan,0.75,258430,2.96,0.00369,0.36738,141.05,bear,Kuan Shien,1933,1933,Sichuan-China,UT,U.thibetanus,U.thibetanus.C
80,80,80,1,G8,239645,U.thibetanus,U.thibetanus,Sichuan,1.09,239645,2.85,0.00369,0.36734,153.92,bear,Wen Chuan,1933,1933,Sichuan-China,UT,U.thibetanus,U.thibetanus.C
81,81,81,1,G9,258646,U.thibetanus,U.thibetanus,Sichuan,1.52,258646,5.25,0.0037,0.36822,221.02,bear,Wei Chow,1933,1933,Sichuan-China,UT,U.thibetanus,U.thibetanus.C
82,82,82,1,G10,259011,U.thibetanus,U.thibetanus,Sichuan,0.4,259011,6.19,0.0037,0.36856,57.2,bear,Wen Chuan,1934,1934,Sichuan-China,UT,U.thibetanus,U.thibetanus.C
83,83,83,1,G11,20119,U.thibetanus,U.thibetanus,NIndia,1.09,20119,4.24,0.00369,0.36785,148.62,bear,Lalab,1891,1891,Jammu and Kashmir-India,UT,U.thibetanus,U.thibetanus
84,84,84,1,G12,21844,U.thibetanus,U.thibetanus,NIndia,0.9,21844,2.96,0.00369,0.36738,130.88,bear,Lalab,1891,1891,Jammu and Kashmir-India,UT,U.thibetanus,U.thibetanus
85,85,85,1,H1,21845,U.thibetanus,U.thibetanus,NIndia,0.92,21845,4.02,0.00369,0.36777,129.67,bear,Lalab,1891,1891,Jammu and Kashmir-India,UT,U.thibetanus,U.thibetanus
86,86,86,1,H2,84092,U.thibetanus,U.thibetanus,NIndia,0.91,84092,0.95,0.00368,0.36665,128.29,bear,Per Panjal Range,1897,1897,Jammu and Kashmir-India,UT,U.thibetanus,U.thibetanus
87,87,87,1,H3,84093,U.thibetanus,U.thibetanus,NIndia,0.89,84093,3.82,0.00369,0.3677,128.29,bear,Per Panjal Range,1897,1897,Jammu and Kashmir-India,UT,U.thibetanus,U.thibetanus
88,88,88,1,H4,155575,T.ornatus,T.ornatus,Venezuela,0.83,155575,3.29,0.00369,0.3675,122.32,bear,"Montanas, Merida",1908,1908,Peru & Venezuela,TO,T.ornatus.V,T.ornatus.V
89,89,89,1,H5,168115,T.ornatus,T.ornatus,Venezuela,0.52,168115,4.43,0.00369,0.36792,82.73,bear,"La Gulata Mountains, La Culata Mountains, Merida",1907,1907,Peru & Venezuela,TO,T.ornatus.V,T.ornatus.V
90,90,90,1,H6,170656,T.ornatus,T.ornatus,Venezuela,1.08,170656,4.91,0.00369,0.3681,153.56,bear,"Rubio Mountains,Merida",1910,1910,Peru & Venezuela,TO,T.ornatus.V,T.ornatus.V
91,91,91,1,H7,171011,T.ornatus,T.ornatus,Venezuela,0.89,171011,4.57,0.00369,0.36797,120.02,bear,Merida,1910,1910,Peru & Venezuela,TO,T.ornatus.V,T.ornatus.V
92,92,92,1,H8,OXA002,T.ornatus,T.ornatus,Peru,1.38,OXA002,4.96,0.00369,0.36811,187.95,bear,oxapampa,2017,2017,Peru & Venezuela,TO,T.ornatus,T.ornatus.P
93,93,93,1,H9,AM001,T.ornatus,T.ornatus,Peru,2.49,AM001,3.39,0.00369,0.36754,343.07,bear,amazonas,2002,2002,Peru & Venezuela,TO,T.ornatus,T.ornatus.P
94,94,94,1,H10,OXA001,T.ornatus,T.ornatus,Peru,2.13,OXA001,3.01,0.00369,0.3674,277.08,bear,oxapampa,2017,2017,Peru & Venezuela,TO,T.ornatus,T.ornatus.P
95,95,95,1,H11,22965,T.ornatus,T.ornatus,Peru,2.14,22965,4.93,0.00369,0.3681,207.64,bear,huanuco,2006,2006,Peru & Venezuela,TO,T.ornatus,T.ornatus.P
96,96,96,1,H12,2966,T.ornatus,T.ornatus,Peru,2.93,2966,6.79,0.0037,0.36878,149.43,bear,huanuco,2006,2006,Peru & Venezuela,TO,T.ornatus,T.ornatus.P
97,97,97,1,A1,T001,T.ornatus,T.ornatus,Peru,1.15,T001,4.08,0.00369,0.36779,149.88,bear,,1990,NA,Peru & Venezuela,TO,T.ornatus,T.ornatus.P
98,99,99,2,A3,197254,U.malayanus,U.malayanus,Borneo,0.54,197254,7.44,0.0037,0.36902,78.12,bear,Tandjong Seglu,1913,1913,Borneo-Indonesia,UL,U.malayanus,U.malayanus
99,100,100,2,A4,198713,U.malayanus,U.malayanus,Borneo,0.64,198713,4.76,0.00369,0.36804,90.1,bear,Sungai Mahakam,1914,1914,Borneo-Indonesia,UL,U.malayanus,U.malayanus
100,101,101,2,A5,198714,U.malayanus,U.malayanus,Borneo,0.36,198714,6.17,0.0037,0.36855,54.14,bear,Tandjong Seglu,1913,1913,Borneo-Indonesia,UL,U.malayanus,U.malayanus
101,102,102,2,A6,198715,U.malayanus,U.malayanus,Borneo,0.21,198715,6.62,0.0037,0.36872,27.63,bear,Sungai Djambajan,1914,1914,Borneo-Indonesia,UL,U.malayanus,U.malayanus
102,103,103,2,A7,286411,U.americanus,U.americanus,Alaska,0.88,286411,5.29,0.0037,0.36823,131.51,bear,"Iniskin Bay, North Side Of Cook Inlet",1950,1950,Alaska-US,UA,U.americanus,U.americanus.A
103,104,104,2,A8,286832,U.americanus,U.americanus,Alaska,0.51,286832,4.52,0.00369,0.36795,76.74,bear,"Iniskin Bay, Cook Inlet",1950,1950,Alaska-US,UA,U.americanus,U.americanus.A
104,105,105,2,A9,292927,U.americanus,U.americanus,Alaska,1.03,292927,3.78,0.00369,0.36768,149.43,bear,"Inukposukruk Creek, Near Head Of John R. Brooks Range",1951,1951,Alaska-US,UA,U.americanus,U.americanus.A
105,106,106,2,A10,224500,U.americanus,U.americanus,New Mexico,1.09,224500,4.97,0.00369,0.36812,160.9,bear,Rociada,1916,1916,New Mexico-US,UA,U.americanus,U.americanus.NM
106,107,107,2,A11,224501,U.americanus,U.americanus,New Mexico,1.04,224501,4.8,0.00369,0.36805,150.34,bear,Mescalero,1916,1916,New Mexico-US,UA,U.americanus,U.americanus.NM
107,108,108,2,A12,231353,U.americanus,U.americanus,New Mexico,1.19,231353,6.69,0.0037,0.36875,167.78,bear,"Luna, Lincoln County",1918,1918,New Mexico-US,UA,U.americanus,U.americanus.NM
108,109,109,2,B1,231356,U.americanus,U.americanus,New Mexico,0.6,231356,5.26,0.0037,0.36822,91.02,bear,"Monticello, Sierra County",1918,1918,New Mexico-US,UA,U.americanus,U.americanus.NM
109,110,110,2,B2,231358,U.americanus,U.americanus,New Mexico,1.59,231358,6.43,0.0037,0.36865,236.91,bear,"Magdalena, Socorro County",1918,1918,New Mexico-US,UA,U.americanus,U.americanus.NM
110,111,111,2,B3,231361,U.americanus,U.americanus,New Mexico,1.07,231361,6.72,0.0037,0.36876,146.21,bear,Senorito,1918,1918,New Mexico-US,UA,U.americanus,U.americanus.NM
111,112,112,2,B4,292035,U.arctos,U.arctos,Alaska,1.65,292035,5.72,0.0037,0.36839,240.56,bear,"Brooks Range, Savioyuk Valley",1950,1950,Alaska-US,UR,U.arctos,U.arctos.A
